Feature,Importance
high_risk_customer,0.08437176
preferred_payment_method,0.0634558
preferred_device,0.05325352
cart_abandonment_rate,0.052076757
monetary,0.051599108
total_sessions,0.048952464
discount_dependency_score,0.04619327
R,0.045490406
customer_segment,0.04157218
RFM_Score,0.038946647
total_orders,0.03448014
average_time_on_site,0.033148758
average_order_value,0.03279823
recency,0.030221516
churn_risk_score,0.030016955
customer_satisfaction,0.029902223
total_spend,0.028934674
rn,0.026429962
return_behavior_score,0.026423633
total_pages_viewed,0.026390113
total_products_purchased,0.025519475
preferred_category,0.025407264
F,0.024954611
purchase_velocity,0.024470594
city,0.024155289
total_review_votes,0.023959553
average_discount_used,0.020678503
M,0.0061965636
frequency,0.0
